organ_category,total,bioclip_zero_top1_accuracy,bioclip_zero_top5_accuracy,bioclip_probe_top1_accuracy,bioclip_probe_top5_accuracy,dinov3_probe_top1_accuracy,dinov3_probe_top5_accuracy,top1_delta_probe_minus_zero,top1_delta_bioclip_probe_minus_dinov3
bark,25,0.76,0.92,0.76,0.88,0.28,0.6,0.0,0.48
cone,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
fruit,27,1.0,1.0,1.0,1.0,0.5925925925925926,0.9259259259259259,0.0,0.4074074074074074
inflorescence,49,0.8979591836734694,0.9795918367346939,0.9591836734693877,0.9795918367346939,0.7142857142857143,0.9591836734693877,0.061224489795918366,0.24489795918367346
leaf,42,0.9047619047619048,0.9761904761904762,0.9047619047619048,1.0,0.7619047619047619,0.9285714285714286,0.0,0.14285714285714285
twig,24,0.9166666666666666,1.0,0.875,1.0,0.4583333333333333,0.75,-0.041666666666666664,0.4166666666666667
whole tree,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
whole tree (or vine),40,0.675,0.85,0.7,0.9,0.35,0.7,0.025,0.35
