representation,k,seed,n_init,species_nmi,organ_nmi,species_purity,organ_purity,inertia,iterations
bioclip,10,42,1,0.44896970834737654,0.12805784342710252,0.21572212065813529,0.36989640463132234,859.6011352539062,26
bioclip,10,43,1,0.48307475248517123,0.12916766720758951,0.2230347349177331,0.3656307129798903,856.6373291015625,23
bioclip,10,44,1,0.461461873396937,0.12831469364238587,0.21633150517976843,0.3705057891529555,859.850830078125,20
bioclip,10,45,1,0.4791053582168871,0.1360313551892229,0.21937842778793418,0.3705057891529555,855.0256958007812,21
bioclip,10,46,1,0.4320428226197133,0.15002521393471546,0.20048750761730652,0.3814747105423522,866.5555419921875,14
bioclip,10,47,1,0.4462773573936819,0.13833336685498068,0.20048750761730652,0.364411943936624,869.3349609375,27
bioclip,10,48,1,0.47290029436231396,0.13112638639794832,0.21511273613650214,0.3692870201096892,857.00927734375,29
bioclip,10,49,1,0.4770486442623719,0.1347416648230019,0.2205971968312005,0.3668494820231566,853.3866577148438,28
bioclip,10,50,1,0.4874632423695581,0.12650113645965172,0.2205971968312005,0.364411943936624,857.7403564453125,19
bioclip,10,51,1,0.47451517614725514,0.13223471569383363,0.22181596587446678,0.36867763558805605,855.519775390625,15
bioclip,20,42,1,0.5952929439021748,0.1394664420935084,0.3485679463741621,0.3942717854966484,776.677490234375,15
bioclip,20,43,1,0.6152308172332536,0.12392220019333812,0.3583180987202925,0.3558805606337599,777.149169921875,13
bioclip,20,44,1,0.5908736958066966,0.14636607438547888,0.33089579524680074,0.40463132236441196,781.3078002929688,17
bioclip,20,45,1,0.5991333435115375,0.1482196641316376,0.35405240706886043,0.4028031687995125,770.7739868164062,22
bioclip,20,46,1,0.5925149548874332,0.1540916424534997,0.3272394881170018,0.39975624619134675,784.3629150390625,20
bioclip,20,47,1,0.5868614370208138,0.13939292183231627,0.33089579524680074,0.39366240097501526,784.2103271484375,13
bioclip,20,48,1,0.5889187112523181,0.16431210555290462,0.33638025594149906,0.40706886045094454,780.28515625,12
bioclip,20,49,1,0.6123033552233814,0.13523951776933588,0.35161486898232786,0.3924436319317489,774.611572265625,18
bioclip,20,50,1,0.5923406982347058,0.15123863111370298,0.3174893357708714,0.3973187081048141,784.0650024414062,16
bioclip,20,51,1,0.6005100164459448,0.15535795492096566,0.33638025594149906,0.3918342474101158,775.046630859375,25
bioclip,50,42,1,0.744066874044296,0.18623863803240154,0.5959780621572212,0.4558196221815966,619.7288818359375,20
bioclip,50,43,1,0.7310661946601738,0.20241651351148365,0.5880560633759903,0.47592931139549055,624.3102416992188,21
bioclip,50,44,1,0.7362393076591861,0.18413153624317108,0.5941499085923218,0.45947592931139547,622.2225952148438,16
bioclip,50,45,1,0.7327601969904824,0.1933022286284828,0.5722120658135283,0.4704448507007922,623.0980224609375,17
bioclip,50,46,1,0.7378208849857303,0.18807965347269606,0.603290676416819,0.47227300426569163,616.0206298828125,10
bioclip,50,47,1,0.7293677331406422,0.21453971654988427,0.5868372943327239,0.49177330895795246,617.2689819335938,12
bioclip,50,48,1,0.7270258053121113,0.19476878022380748,0.5673369896404631,0.4643510054844607,625.1463623046875,15
bioclip,50,49,1,0.7366595067248378,0.196108089166078,0.5978062157221207,0.46496039000609385,619.6661987304688,11
bioclip,50,50,1,0.7276891835985803,0.2122158671387441,0.578915295551493,0.4789762340036563,622.9667358398438,13
bioclip,50,51,1,0.7345788832499069,0.18786640412188163,0.5886654478976234,0.4582571602681292,619.9193115234375,9
dinov3,10,42,1,0.22419566918267347,0.4990978995479564,0.1267519804996953,0.7367458866544789,1066.6260986328125,28
dinov3,10,43,1,0.221646451088446,0.5078647067332431,0.11882998171846434,0.7422303473491774,1073.894287109375,50
dinov3,10,44,1,0.2223339355766057,0.49436784539528156,0.12492382693479585,0.7154174283973187,1066.6453857421875,18
dinov3,10,45,1,0.21871311258856435,0.49744243234292623,0.12248628884826325,0.720292504570384,1064.826171875,17
dinov3,10,46,1,0.19044980387289806,0.5635554388201324,0.11273613650213285,0.7873248019500305,1066.3760986328125,18
dinov3,10,47,1,0.2045119388058009,0.5039689588882547,0.12370505789152955,0.7458866544789763,1074.339599609375,43
dinov3,10,48,1,0.23869554779421914,0.4743406169227786,0.1218769043266301,0.70018281535649,1065.4134521484375,24
dinov3,10,49,1,0.20510160284677137,0.4962015379605218,0.12309567336989641,0.7172455819622182,1067.72900390625,33
dinov3,10,50,1,0.23173568555620563,0.46267161677402635,0.125533211456429,0.684338817794028,1071.7054443359375,21
