representation,comparison,same_pair_count,different_pair_count,same_mean,same_std,different_mean,different_std,mean_difference_same_minus_different,cohens_d,same_q05,same_q25,same_q50,same_q75,same_q95,different_q05,different_q25,different_q50,different_q75,different_q95
bioclip,species,22538,1317574,0.5917636156082153,0.17182306945323944,0.3332294821739197,0.09237238019704819,0.25853413343429565,1.874227523803711,0.32806965708732605,0.4570743441581726,0.5827469825744629,0.730869710445404,0.8778467774391174,0.1932164430618286,0.2698691487312317,0.32654377818107605,0.38935571908950806,0.49552130699157715
bioclip,normalized_organ,230706,1109406,0.37029650807380676,0.11521489173173904,0.3307735323905945,0.09507427364587784,0.03952297568321228,0.3741794526576996,0.20664046704769135,0.2928842008113861,0.35911354422569275,0.43292829394340515,0.5669302344322205,0.19180068373680115,0.2673352360725403,0.32287153601646423,0.3843240737915039,0.4932705760002136
dinov3,species,22538,1317574,0.23903654515743256,0.24278275668621063,0.1157684475183487,0.13437902927398682,0.12326809763908386,0.6282275319099426,-0.009659446775913239,0.0605028010904789,0.1421043872833252,0.3677053153514862,0.7635359168052673,-0.03172612935304642,0.0241970457136631,0.08001698553562164,0.17050999402999878,0.38783982396125793
dinov3,normalized_organ,230706,1109406,0.2604803442955017,0.186787411570549,0.08817917853593826,0.10286248475313187,0.17230117321014404,1.1427196264266968,0.014164648950099945,0.1186274066567421,0.22745968401432037,0.37227925658226013,0.6201671361923218,-0.03489287942647934,0.017325226217508316,0.06521240621805191,0.13532088696956635,0.29016679525375366
efficientnet_b0,species,22538,1317574,0.22710169851779938,0.18272769451141357,0.1945643275976181,0.13658024370670319,0.032537370920181274,0.20170371234416962,0.025118455290794373,0.089283786714077,0.1735529899597168,0.3210342526435852,0.608917236328125,0.026407208293676376,0.0942067876458168,0.1653287708759308,0.2674413323402405,0.4617529511451721
efficientnet_b0,normalized_organ,230706,1109406,0.34306421875953674,0.16399434208869934,0.16434410214424133,0.10845435410737991,0.1787201166152954,1.2855151891708374,0.09446551650762558,0.22116553783416748,0.3313060402870178,0.4520312547683716,0.634849488735199,0.022203365340828896,0.08412934839725494,0.14474034309387207,0.22709792852401733,0.3705459535121918
