representation,k,species_nmi,organ_nmi,weighted_species_purity,weighted_organ_purity,cluster_size_min,cluster_size_median,cluster_size_max,bioclip_dinov3_ari
bioclip,10,0.44911978488233145,0.12894795201530881,0.20597196831200487,0.35039609993906157,96,136.0,302,0.15877402184459669
bioclip,20,0.6151151702895707,0.16322453602410725,0.3333333333333333,0.3973187081048141,29,74.5,200,0.19537558678879638
bioclip,50,0.7519694146090864,0.19571383402266196,0.6343692870201096,0.4466788543570993,13,29.0,103,0.20826139490541484
dinov3,10,0.23600232288424733,0.4725219184630329,0.12309567336989641,0.68860450944546,123,164.5,209,0.15877402184459669
dinov3,20,0.3163079531661295,0.5217921518488328,0.16514320536258378,0.7964655697745278,33,80.5,140,0.19537558678879638
dinov3,50,0.45399364111600204,0.49903455199525054,0.28762949421084705,0.8318098720292505,8,30.5,82,0.20826139490541484
