representation,k,seeds,n_init_per_seed,species_nmi_mean,species_nmi_std,species_nmi_min,species_nmi_max,organ_nmi_mean,organ_nmi_std,organ_nmi_min,organ_nmi_max,species_purity_mean,species_purity_std,species_purity_min,species_purity_max,organ_purity_mean,organ_purity_std,organ_purity_min,organ_purity_max,stability_pairwise_ari_mean,stability_pairwise_ari_std,stability_pairwise_ari_min,stability_pairwise_ari_max,stability_pairs
bioclip,10,10,1,0.4662859229601266,0.018312241264124007,0.4320428226197133,0.4874632423695581,0.13345340436304326,0.006959123222312196,0.12650113645965172,0.15002521393471546,0.21535648994515544,0.008267092084882379,0.20048750761730652,0.2230347349177331,0.36916514320536253,0.004932293385586407,0.364411943936624,0.3814747105423522,0.5969894845849396,0.08440002279887107,0.43810137392854576,0.7886114865273066,45
bioclip,20,10,1,0.597397997351826,0.009616021251893949,0.5868614370208138,0.6152308172332536,0.14576071544466881,0.01159438990261096,0.12392220019333812,0.16431210555290462,0.3391834247410116,0.013317526756512117,0.3174893357708714,0.3583180987202925,0.3939670932358318,0.014398478077996331,0.3558805606337599,0.40706886045094454,0.5193747844498853,0.04249924556120916,0.4283330061410043,0.6293624770969086,45
bioclip,50,10,1,0.7337274570365947,0.005246045238352428,0.7270258053121113,0.744066874044296,0.19596674270886308,0.010654542422987776,0.18413153624317108,0.21453971654988427,0.5873248019500305,0.011486354928401443,0.5673369896404631,0.603290676416819,0.46922608165752583,0.011036423081215618,0.4558196221815966,0.49177330895795246,0.5813965068071862,0.0275771314592265,0.5234506775116977,0.6399035996673766,45
dinov3,10,10,1,0.21740515537098296,0.014116559600221972,0.19044980387289806,0.23869554779421914,0.5026786278953614,0.02767751605975476,0.46267161677402635,0.5635554388201324,0.12273004265691652,0.004310913961367398,0.11273613650213285,0.12736136502132847,0.7291895185862279,0.028519369225726836,0.684338817794028,0.7873248019500305,0.5882927411345839,0.06667910237835974,0.4609558766782693,0.7543262790422638,45
dinov3,20,10,1,0.321956098688588,0.012098236485273573,0.3055598778994158,0.3448258856137998,0.49849959273330446,0.021991632020117297,0.46816838021084156,0.5352979374662766,0.1725167580743449,0.008790780963735922,0.15722120658135283,0.18525289457647776,0.7836684948202316,0.023462842882214393,0.7525898842169408,0.825716026812919,0.5943359458545624,0.0614863877930069,0.456223784086298,0.7634051803107664,45
dinov3,50,10,1,0.4565392663494577,0.005211528353741738,0.4481229945056598,0.46278190201148073,0.4897052592506304,0.007035971108818803,0.48125902208950283,0.5026755998208897,0.2794028031687995,0.007977792763215715,0.2681291895185862,0.295551492992078,0.835222425350396,0.009532751312314095,0.8208409506398537,0.8507007921998782,0.5625596482222956,0.029571576608009808,0.49962908145991664,0.6074473693594261,45
efficientnet_b0,10,10,1,0.12828829905011768,0.0074686220569743405,0.11220158513273147,0.13916445003720795,0.5348078434434773,0.007184668376553456,0.5259439785502323,0.5486153281707365,0.09244363193174893,0.00282997716950934,0.08714198659354053,0.09628275441803778,0.7742839731870811,0.009269413195002088,0.7562461913467398,0.7836684948202316,0.7088616499996633,0.07045483065393178,0.577693144052877,0.9357486226153658,45
efficientnet_b0,20,10,1,0.21213218245956106,0.004390471980010239,0.2014599637906968,0.2190031959815489,0.4975995318137727,0.010760011748637227,0.4834481715366439,0.5153338930756567,0.12181596587446679,0.004087370937261573,0.11517367458866545,0.1267519804996953,0.780255941499086,0.009053229241407747,0.7696526508226691,0.7940280316879951,0.5442257515508421,0.04664336038351711,0.46274574083398634,0.6691353199916278,45
efficientnet_b0,50,10,1,0.3270475003388294,0.004986417002754436,0.31809386300188236,0.3319533259654999,0.4559787851508805,0.0042816940055635366,0.4493185044994478,0.4625536586717614,0.182205971968312,0.0034591481547687226,0.17550274223034734,0.18708104814137722,0.79981718464351,0.007330929284021356,0.7842778793418648,0.8098720292504571,0.440429527389359,0.030394305163850294,0.37583810335343565,0.5153109557599014,45
