model_key,model,model_id,method,candidate_species,image_count,image_top1_correct,image_top1_accuracy,image_top5_correct,image_top5_accuracy,observation_count,observation_majority_correct,observation_majority_accuracy,observations_with_any_correct_image
bioclip,BioCLIP 2.5 zero-shot (strict 63-class),hf-hub:imageomics/bioclip-2.5-vith14,zero-shot closed-set cosine similarity,63,211,181,0.8578199052132701,201,0.95260663507109,63,57,0.9047619047619048,58
dinov3,DINOv3 frozen + linear probe (strict 63-class),facebook/dinov3-vitb16-pretrain-lvd1689m,frozen CLS embedding + multinomial logistic regression,63,211,119,0.5639810426540285,176,0.8341232227488151,63,40,0.6349206349206349,43
gpt_5_4,GPT-5.4 direct VLM (85-class),openai/gpt-5.4,direct image + 85-species candidate prompt,85,211,83,0.3933649289099526,137,0.6492890995260664,63,28,0.4444444444444444,36
gemini_flash_lite,Gemini 2.5 Flash Lite direct VLM (85-class),google/gemini-2.5-flash-lite,direct image + 85-species candidate prompt,85,211,85,0.4028436018957346,138,0.6540284360189573,63,26,0.4126984126984127,32
