first_model,second_model,both_correct,first_only_correct,second_only_correct,both_wrong,correct_set_jaccard,same_top1_prediction,top1_prediction_agreement
bioclip,dinov3,109,72,10,20,0.5706806282722513,110,0.5213270142180095
bioclip,gpt_5_4,80,101,3,27,0.43478260869565216,81,0.38388625592417064
bioclip,gemini_flash_lite,83,98,2,28,0.453551912568306,85,0.4028436018957346
dinov3,gpt_5_4,61,58,22,70,0.4326241134751773,66,0.3127962085308057
dinov3,gemini_flash_lite,60,59,25,67,0.4166666666666667,66,0.3127962085308057
gpt_5_4,gemini_flash_lite,55,28,30,98,0.48672566371681414,76,0.36018957345971564
